Region,Division,District,SchoolID,School.Name,Street.Address,Province,Municipality,Legislative.District,Barangay
Region IX,Sulu,Indanan,134295,Badjao Elementary school,Talatak sitio,SULU,INDANAN,1st District,BATO-BATO
Region IX,Sulu,Indanan,134296,Bato-Bato ES,"Bato-Bato Indanan, Sulu",SULU,INDANAN,1st District,BATO-BATO
Region IX,Sulu,Indanan,134298,Bunot Elementary School,Km.10,SULU,INDANAN,1st District,BUNUT
Region IX,Sulu,Indanan,134299,Bwansa Elementary School,LAWM AD,SULU,INDANAN,1st District,BUANZA
Region IX,Sulu,Indanan,134300,Cmdr. Bara Jalaidi (Karawan) PS,Karawan,SULU,INDANAN,1st District,KARAWAN
Region IX,Sulu,Indanan,134301,Dayuan Primary School,KM 8,SULU,INDANAN,1st District,TIMBANGAN
Region IX,Sulu,Indanan,134302,Ikih Elementary School,Andihih,SULU,INDANAN,1st District,MALIMBAYA
Region IX,Sulu,Indanan,134303,Kagay Elementary School,kagay,SULU,INDANAN,1st District,KAGAY
Region IX,Sulu,Indanan,134304,Upper Kajatian ES,"Km. 2,",SULU,INDANAN,1st District,KAJATIAN
Region IX,Sulu,Indanan,134306,Kasambuhan Village Elementary School,"Km.4, Kasambuhan Village.",SULU,INDANAN,1st District,TAGBAK
Region IX,Sulu,Indanan,134307,Lower Kajatian Elementary School,KM 2,SULU,INDANAN,1st District,KAJATIAN
Region IX,Sulu,Indanan,134308,KUPPONG ES,KM17,SULU,INDANAN,1st District,KUPPONG
Region IX,Sulu,Indanan,134309,Langpas Elementary School,N/A,SULU,INDANAN,1st District,LANGPAS
Region IX,Sulu,Indanan,134310,Lugmah Elementary School,"Bunot , Indanan,Sulu",SULU,INDANAN,1st District,BUNUT
Region IX,Sulu,Indanan,134311,Maharadja Abduraup Elem.School,Subah Datu,SULU,INDANAN,1st District,BUANZA
Region IX,Sulu,Indanan,134313,Manilop ES,-,SULU,INDANAN,1st District,MANILOP
Region IX,Sulu,Indanan,134314,Mukammali ES,"Sagay, Langpas, Indanan, Sulu",SULU,INDANAN,1st District,LANGPAS
Region IX,Sulu,Indanan,134316,Palan Elementary School,kilometer 9,SULU,INDANAN,1st District,ADJID
Region IX,Sulu,Indanan,134318,Panglima Indanan Central School,Lampaki,SULU,INDANAN,1st District,LICUP
Region IX,Sulu,Indanan,134319,Panglima Mammah Elem. School,-,SULU,INDANAN,1st District,TAGBAK
Region IX,Sulu,Indanan,134320,Pang. Uding ES,#NAME?,SULU,INDANAN,1st District,TUBIG DAKULAH
Region IX,Sulu,Indanan,134321,Panglima Ahajan ES,Km13,SULU,INDANAN,1st District,PANABUAN
Region IX,Sulu,Indanan,134322,Panglima Misuari ES,Panglima Misuari,SULU,INDANAN,1st District,PANGLIMA MISUARI (SASAK)
Region IX,Sulu,Indanan,134323,Pasil Elementary School,Pasil,SULU,INDANAN,1st District,PASIL
Region IX,Sulu,Indanan,134325,Poblacion Elementary School,Poblacion Indanan,SULU,INDANAN,1st District,POBLACION (INDANAN)
Region IX,Sulu,Indanan,134327,Sapah Malaum Elementary School,#NAME?,SULU,INDANAN,1st District,SAPAH MALAUM
Region IX,Sulu,Indanan,134328,Sapie Elementary School,-,SULU,INDANAN,1st District,PALIGUE
Region IX,Sulu,Indanan,134329,South Sionogan Elementary School,Sionogan,SULU,INDANAN,1st District,SIONOGAN
Region IX,Sulu,Indanan,134330,Timahoe  Elementary School,"Subah Timahoe,Sionogan",SULU,INDANAN,1st District,SIONOGAN
Region IX,Sulu,Indanan,134331,Timbangan Elementary School,-,SULU,INDANAN,1st District,TIMBANGAN
Region IX,Sulu,Indanan,305029,Indanan NHS,-,SULU,INDANAN,1st District,LICUP
Region IX,Sulu,Indanan,305030,Jolo Agricultural School,Tanjung,SULU,JOLO (Capital),1st District,TULAY
Region IX,Sulu,Indanan,305032,Jolo School of Fisheries,Alat,SULU,JOLO (Capital),1st District,ALAT
Region IX,Sulu,Indanan,318402,Pasil Indanan,-,SULU,INDANAN,1st District,PASIL
